白山小学校,越前市都辺町24-2,0778-28-1002,データなし,データなし,35.8880581,136.0528846
武生第五中学校,越前市都辺町36-73,0778-28-1004,データなし,データなし,35.8885303,136.0568425
坂口小学校,越前市湯谷町24-25,0778-28-1808,データなし,データなし,35.8589351,136.0868953
神山小学校,越前市広瀬町102-43,0778-22-1104,データなし,データなし,35.8857334,136.1360452
大虫小学校,越前市高森町14-15,0778-22-1109,データなし,データなし,35.9062085,136.1418661
武生第六中学校,越前市四郎丸町16-1,0778-22-1462,データなし,データなし,35.8657,136.1590542
武生第二中学校,越前市妙法寺町42-15,0778-23-1422,データなし,データなし,35.8873808,136.1603785
王子保小学校,越前市今宿町5-14,0778-22-1293,データなし,データなし,35.8661114,136.1674812
武生西小学校,越前市中央二丁目2-13,0778-22-0408,データなし,データなし,35.9025706,136.1581421
武生第一中学校,越前市平出一丁目6-1,0778-23-1411,データなし,データなし,35.9085588,136.1584336
武生南小学校,越前市武生柳町13-20,0778-22-0366,データなし,データなし,35.8942968,136.1643807
吉野小学校,越前市本保町17-1,0778-22-0192,データなし,データなし,35.9261038,136.1572387
武生東小学校,越前市国府二丁目9-12,0778-22-0367,データなし,データなし,35.9084868,136.1685104
コミュニティセンター柳荘,越前市家久町105-10-1,0778-23-3436,データなし,データなし,35.9204726,136.1719215
武生第三中学校,越前市村国二丁目3-56,0778-23-1433,データなし,データなし,35.9057096,136.1758765
北日野小学校,越前市小野谷町2-2,0778-22-1095,データなし,データなし,35.8894509,136.190595
国高小学校,越前市国高一丁目15-5,0778-22-1045,データなし,データなし,35.9123147,136.1859754
万葉中学校,越前市西尾町48-18,0778-27-1258,データなし,データなし,35.8922735,136.2135026
北新庄小学校,越前市北町47-6,0778-22-1040,データなし,データなし,35.9139874,136.2099638
北新庄体育館,越前市北町54-25,0778-23-4604,データなし,データなし,35.9126571,136.2110914
味真野小学校,越前市池泉町9-1,0778-27-1323,データなし,データなし,35.8905074,136.2328142
うすずみ会館,越前市粟田部町71-3-2,0778-42-1350,データなし,データなし,35.9134491,136.2348469
今立体育センター,越前市岩本町1-9,0778-43-1587,データなし,データなし,35.9098967,136.2406742
花筐小学校,越前市粟田部町41-12,0778-42-0045,データなし,データなし,35.9141213,136.2403936
岡本小学校,越前市定友町10-15,0778-42-0101,データなし,データなし,35.9151435,136.2451764
いまだて芸術館,越前市粟田部町11-11-1,0778-42-2700,データなし,データなし,35.9187262,136.2472218
南越中学校,越前市野岡町28-4,0778-42-1870,データなし,データなし,35.9261258,136.2497424
服間小学校,越前市藤木町12-11,0778-42‐1002,データなし,データなし,35.9354359,136.2650714
