県立浦和東高等学校,さいたま市緑区寺山３６５,データなし,データなし,データなし,35.9089967,139.7069191
城北小学校,さいたま市岩槻区岩槻６６１９,データなし,データなし,データなし,35.9620482,139.6938046
柏崎小学校,さいたま市岩槻区柏崎７６２,データなし,データなし,データなし,35.9337158,139.7014579
岩槻本町公民館,さいたま市岩槻区本町４－２－２５ ,データなし,データなし,データなし,35.949161,139.6976132
美園中学校,さいたま市緑区大崎２５５０－３,データなし,データなし,データなし,35.8920876,139.7125164
県立浦和特別支援学校,さいたま市緑区大崎５８,データなし,データなし,データなし,35.8819192,139.7158888
北部工業団地記念公園,さいたま市岩槻区古ヶ場１－２－１,データなし,データなし,データなし,35.9780069,139.6918677
柏陽中学校,さいたま市岩槻区真福寺４５４,データなし,データなし,データなし,35.9358795,139.7029049
岩槻小学校,さいたま市岩槻区本町５－６－４５,データなし,データなし,データなし,35.9534021,139.6988379
岩槻高等学校,さいたま市岩槻区城南１－３－３８,データなし,データなし,データなし,35.9424787,139.7038129
美園公民館,さいたま市緑区大門１９７３－１,データなし,データなし,データなし,35.8895824,139.7178632
太田小学校,さいたま市岩槻区仲町１－１７－３,データなし,データなし,データなし,35.9482334,139.703732
岩槻中学校,さいたま市岩槻区仲町１－１４－３５,データなし,データなし,データなし,35.9489278,139.704082
老人福祉センター槻寿苑,さいたま市岩槻区笹久保１３９３,データなし,データなし,データなし,35.918468,139.7129737
岩槻商業高等学校,さいたま市岩槻区太田１－４－１,データなし,データなし,データなし,35.951047,139.7050234
岩槻本丸公民館,さいたま市岩槻区本丸３－１７－１,データなし,データなし,データなし,35.9541188,139.7052622
岩槻南部公民館,さいたま市岩槻区笹久保１３４８－１,データなし,データなし,データなし,35.9164211,139.7157123
上里小学校,さいたま市岩槻区上里２－２,データなし,データなし,データなし,35.9652062,139.7048312
城南小学校,さいたま市岩槻区南下新井１１９１－１,データなし,データなし,データなし,35.9359548,139.712626
市民会館いわつき,さいたま市岩槻区太田３－１－１,データなし,データなし,データなし,35.9507304,139.7089925
岩槻諏訪公園,さいたま市岩槻区諏訪４－４,データなし,データなし,データなし,35.9686168,139.7049727
岩槻城址公民館,さいたま市岩槻区太田３－４－１,データなし,データなし,データなし,35.9517359,139.7107978
旧美園中学校跡地,さいたま市緑区大門２８２２－１,データなし,データなし,データなし,35.886128,139.7303262
慈恩寺中学校,さいたま市岩槻区裏慈恩寺５０５,データなし,データなし,データなし,35.9852474,139.7048578
東岩槻小学校,さいたま市岩槻区諏訪２－６,データなし,データなし,データなし,35.9697889,139.7088945
和土小学校,さいたま市岩槻区黒谷１３５３,データなし,データなし,データなし,35.9262395,139.7205309
大門小学校,さいたま市緑区大門１１８９,データなし,データなし,データなし,35.8807446,139.7337207
慈恩寺小学校,さいたま市岩槻区慈恩寺２５９,データなし,データなし,データなし,35.981687,139.7080022
桜山中学校,さいたま市岩槻区表慈恩寺６８４－１,データなし,データなし,データなし,35.9729189,139.7112274
城南中学校,さいたま市岩槻区笹久保５７７,データなし,データなし,データなし,35.9148825,139.7270279
開智学園第３グラウンド,さいたま市岩槻区徳力１８６,データなし,データなし,データなし,35.9712831,139.7128051
ふれあいプラザいわつき,さいたま市岩槻区東岩槻６－６,データなし,データなし,データなし,35.96204,139.716358
美園小学校,さいたま市緑区大字大門４３５９,データなし,データなし,データなし,35.8907214,139.7349896
岩槻文化公園槻の森スポーツセンター,さいたま市岩槻区村国２２９,データなし,データなし,データなし,35.9445538,139.7217718
岩槻北陵高等学校,さいたま市岩槻区慈恩寺１１７－２,データなし,データなし,データなし,35.9777071,139.7139824
岩槻文化公園,さいたま市岩槻区村国２２９,データなし,データなし,データなし,35.944514,139.722584
岩槻北部公民館,さいたま市岩槻区慈恩寺９０４－１,データなし,データなし,データなし,35.9801095,139.7142573
新和小学校,さいたま市岩槻区尾ヶ崎１２５２,データなし,データなし,データなし,35.9108413,139.7323999
徳力小学校,さいたま市岩槻区徳力１３６－４,データなし,データなし,データなし,35.9740493,139.7168907
川通小学校,さいたま市岩槻区大野島４２２－１,データなし,データなし,データなし,35.9418703,139.7310403
川通中学校,さいたま市岩槻区長宮４３５,データなし,データなし,データなし,35.9477806,139.731315
